,momentum_1y,momentum_6m,momentum_3m,momentum_15d
ECOPETROL,-0.18181818181818177,0.09311740890688247,0.463414634146341,0.4477211796246652
PFGRUPSURA,1.2856399691323337,3.2652686366122365,0.9789014763423369,-0.11462788708297689
GRUPOSURA,0.22508556923899814,0.893314061551179,0.7174096765032689,-0.14434782608695662
NUTRESA,6.790876473603276,5.191446028513231,2.4942528735632177,0.14716981132075513
ISA,0.22123893805309836,0.9166666666666679,0.6159250585480092,0.0705973622963536
GEB,0.2637130801687786,0.7806183115338896,0.20523138832998056,0.001672240802675029
CELSIA,0.28108869075551346,1.2712146422628963,0.4501992031872515,0.09199999999999986
GRUPOARGOS,1.0131336550341805,1.9970126101333503,0.34407444226640993,-0.017647058823529682
PFGRUPOARG,1.4223462499940958,2.3325612045373316,0.500334512274651,2.220446049250313e-16
CORFICOLCF,-0.34782608695652206,0.2692307692307685,0.09126984126984095,-0.14062499999999978
PFCORFICOL,-0.11356783919598012,0.5141630901287555,0.22500000000000075,-0.00898876404494331
GRUPOAVAL,-0.1425389755011126,0.5440144065768133,0.7111111111111104,-0.0077319587628867925
PFAVAL,-0.10048528582115523,0.6170212765957455,0.6593886462882077,-0.021879021879022575
PFDAVVNDA,-0.3378378378378377,0.5030674846625764,0.28947368421052544,-0.06985573272589196
CEMARGOS,1.2157730872640928,1.6692722893677465,0.21280004208204928,0.06296296296296289
PFCEMARGOS,2.9344783337546034,3.3237056301808625,0.20919634124058173,0.011994002998500841
PROMIGAS,-0.05477528089887662,0.5883880103847068,-0.07427785419532262,0.03379416282642089
MINEROS,3.10958904109589,6.239057239057243,1.8227571115973737,-0.1590612777053455
ETB,-0.6969696969696969,-0.3646759605340263,-0.32432432432432423,0.07526881720430079
ELCONDOR,-0.19492183945125185,-0.11864406779660985,-0.1333333333333332,-0.19999999999999996
OCCIDENTE,-0.12916666666666698,0.741666666666666,0.2294117647058822,-0.027906976744185963
BOGOTA,-0.3655737704918036,0.5479999999999992,0.4408041697691729,-0.01023017902813328
BVC,0.6683119447186565,1.1125000000000007,0.7604166666666652,0.19858156028368779
TERPEL,1.055555555555554,1.8030303030303014,0.5704584040747014,-0.03343782654127492
