,momentum_15d,momentum_3m,momentum_6m,momentum_1y,predicted_return_pct,current_price,predicted_price,mape,score
WRB,-0.019627507163323843,-0.027153824282059702,-0.08098307816277239,0.050345356868764846,2.69,68.43,70.27,3.96,0.4367228674642758
FSLR,-0.014653570480488431,-0.3179596486714932,-0.16498695221812287,0.4722354434396292,-0.35,185.59,184.94,2.72,0.4366563026816864
DXCM,-0.029697147897676968,-0.019899019899019876,-0.03254177660510049,-0.08358789225215246,8.64,66.0,71.7,3.44,0.4364615357344954
JPM,-0.011143025227532521,-0.1294214422813268,-0.08726482895199106,0.13962670495333818,-3.21,285.75,276.57,4.88,0.43522508601644094
LH,-0.0062455853377447745,0.0526502323383482,-0.030361288450377333,0.14681024496975326,-6.32,267.31,250.41,2.4,0.4349333218301838
DRI,-0.024420325604341597,0.0417764197660937,0.059412836172719086,-0.04468599033816367,4.63,197.75,206.91,1.98,0.4348701258445124
CBRE,-0.01457555116091691,-0.1828727604008501,-0.13778518328633693,0.016623847665105496,-1.37,134.54,132.7,2.32,0.4347712909459321
TRV,-0.0031087404692561327,0.03703703703703565,0.11206833613199851,0.1632364733284939,-8.85,304.64,277.69,2.22,0.43370396657357363
AFL,-0.019436695761720246,-0.012952898550725012,-0.0036573100484601495,-0.011789244581482894,0.91,108.97,109.96,2.64,0.4334973362484109
STT,-0.005386145177328272,-0.0916452247616164,0.05243314335817639,0.2956606217616584,-7.78,120.03,110.69,5.63,0.43311069388049117
QCOM,-0.03589364844903986,-0.2534172147555046,-0.23030660377358536,-0.17505055611728992,10.6,130.54,144.38,4.51,0.4330040358439202
MA,-0.026895664034733868,-0.12605462482099394,-0.1067278017811486,-0.07700577634432049,5.0,506.53,531.84,2.19,0.43268877485471724
TT,-0.03429684345533568,0.035396877944436245,0.0023914008185013103,0.15587332272003818,9.38,406.59,444.72,3.8,0.43250978252700156
TFX,-0.020938692218968824,-0.09274027789196737,-0.05262706043955945,-0.21195458116118016,1.27,110.35,111.75,4.68,0.43243625303330135
C,0.007612781954887016,-0.1169590643274857,0.05128456560109762,0.46621991247264805,-16.01,107.21,90.05,7.6,0.4323840513979258
PGR,-0.027744785975580832,-0.10067674459483211,-0.15493248544410898,-0.24874270401233378,5.25,204.65,215.39,3.15,0.4321789770813038
CMS,-0.010382868267358791,0.08881907753819829,0.07591364470156492,0.04280634573304187,-5.44,76.25,72.1,2.02,0.4317942527546849
SHW,-0.03134957967891716,-0.015545000308431867,-0.059575721862108244,-0.07158439745193135,7.06,319.18,341.7,4.24,0.4314653528872082
IT,-0.07304203474239623,-0.378206402863392,-0.40306200366524136,-0.6328691854321743,32.22,156.35,206.73,3.8,0.43139970928033367
